Project Name,Version Number
org.apache.qpid:qpid-broker-core,0.26
com.facebook.hadoop:hadoop-core,0.20.0
org.rhq.helpers:rhq-metrics-simulator,4.10.0
org.onebusaway:onebusaway-cli,1.0.0
de.ipk-gatersleben:eDAL-MetaDataAPI-Server,2.2.0
org.rhq:rhq-server-metrics,4.10.0
org.apache.cassandra:cassandra-all,0.7.0
org.smali:smali,2.0.3
com.facebook.hadoop:hadoop-test,0.20.0
org.wikiclean:wikiclean,0.1
org.jpos:jpos,1.9.0
org.apache.flink:flink-clients,0.10.0
org.apache.tapestry:tapestry-runner,5.4.0
org.apache.maven:maven,3.5.0-alpha-1
org.gridgain:gridgain-datagrid,6.0.2
org.apache.flink:flink-runtime,0.10.0
org.akhikhl.gretty:gretty-core,1.2.1
org.gosu-lang.gosu:gosu-core-api,1.6
com.samsix:s6-util,1.0.1
com.github.andreptb:fitnesse-selenium-slim,0.1.0
org.jmxtrans:jmxtrans,247
eu.interedition:collatex-tools,1.6
io.github.myui:hivemall,0.3
de.hu-berlin.german.korpling.annis:annis-service,3.3.0
com.github.mercurydb:mercurydb,0.6.2
org.apache.phoenix:phoenix-pherf,4.4.0-HBase-0.98
org.apache.flink:flink-shaded-include-yarn-tests,0.10.1
com.n1analytics:javallier_2.10,0.5.0
com.github.cosysoft:device-api,0.9.0
net.lightbody.bmp:littleproxy,1.1.0-beta-bmp-1
com.facebook.stetho:stetho,1.0.0
com.github.sdnwiselab:sdn-wise-node,2.0.0
org.rundeck:rundeck-launcher,2.10.0
technology.tabula:tabula,0.8.0
org.perfcake:perfcake-agent,4.1
co.cask.hbase:hbase,0.94.6.1.cask
com.bugvm:bugvm-compiler,1.2.3
edu.usc.ir:lucene-geo-gazetteer,0.2
com.brightsparklabs:asanti,0.8.0
io.pity:api,2.0.1
de.hhu.stups:bmotion-prob,0.3.0
com.sysgears.grain:grain,0.5.0
com.github.ricksbrown:cowsay,1.0.0
eu.trentorise.opendata:josman,0.6.0
com.massisframework.massis:massis-app,1
com.lucidworks.spark:spark-solr,1.1.2
com.linkedin.gobblin:gobblin-api,0.0.0.mavenTest1
org.lwapp:lwapp-commons,1.0.GA
fr.faylixe:googlecodejam-client,1.0.0
